Nº de manutenções;Dia;Semana
18;1; Semana 1
22;2; Semana 1
28;3; Semana 1
23;4; Semana 1
33;5; Semana 1
23;6; Semana 1
22;7; Semana 1
32;1; Semana 2
14;2; Semana 2
24;3; Semana 2
38;4; Semana 2
14;5; Semana 2
22;6; Semana 2
35;7; Semana 2
24;1; Semana 3
24;2; Semana 3
28;3; Semana 3
25;4; Semana 3
20;5; Semana 3
23;6; Semana 3
14;7; Semana 3
20;1; Semana 4
30;2; Semana 4
27;3; Semana 4
24;4; Semana 4
38;5; Semana 4
27;6; Semana 4
23;7; Semana 4
19;1; Semana 5
18;2; Semana 5
17;3; Semana 5
24;4; Semana 5
27;5; Semana 5
23;6; Semana 5
32;7; Semana 5
